,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
1,0.638343396,0.328427645,0.51449995,0.553200544,0.519306085,0.013782528,-0.005203952,-0.000399277,-0.000498695,0.000132256,0.000569116,-0.000609408,-0.000330592,-0.320567887,-0.186072305,4.31
2,0.750568041,0.45309549,0.603670108,0.68981883,0.638465948,0.016876662,-0.002938415,-5.65E-05,7.21E-05,0.000115499,0.00032838,-5.80E-05,0.0001918,-0.24713929,-0.150574617,4.25
3,0.668724553,0.33804577,0.505508237,0.576394022,0.525544938,0.020136283,-0.005426058,-0.000455857,-0.000421549,0.000251182,0.000655934,-0.001043949,-0.000826108,-0.328455036,-0.167462467,2.55
4,0.787275234,0.643825599,0.817789727,0.90285396,0.859922932,0.025643224,0.002402236,3.11E-05,-5.22E-05,-7.21E-05,-0.001008359,0.006466172,0.007604417,-0.100237267,-0.173964128,15.87
5,0.7131729,0.426598569,0.59816991,0.676206429,0.62619335,0.032168573,-0.005722848,-0.000562092,-0.000503861,0.000320514,0.000844368,-0.000397956,0.0001691,-0.251431395,-0.171571341,6.73
6,0.614874411,0.298041411,0.484719165,0.527078961,0.494779758,0.01370267,-0.006132843,-0.000384573,-0.000522529,9.88E-05,0.000554201,-0.000653859,-0.00040066,-0.347056095,-0.186677754,2.24
7,0.671519265,0.357303785,0.532082701,0.608064743,0.556994832,0.02590375,-0.006306875,-0.000538893,-0.000542834,0.000266776,0.000738622,-0.001024352,-0.000733233,-0.305412559,-0.174778917,3.27
8,0.676834672,0.351074632,0.518700721,0.578164744,0.531658524,0.016086706,-0.006504167,-0.000379828,-0.000364949,0.000199998,0.000563631,-0.00070577,-0.000460623,-0.316915158,-0.167626088,2.48
9,0.858863963,0.72949114,0.849367503,0.929616897,0.879630133,0.024521769,0.004408807,0.000242725,0.001133626,0.00048247,-0.001667721,0.010480165,0.01229779,-0.081450818,-0.119876363,11.79
10,0.655442408,0.337868708,0.515481916,0.578408524,0.534524781,0.013140658,-0.004193007,-0.000293014,-0.000343903,0.000112015,0.000426643,-0.00060966,-0.00044695,-0.319712218,-0.177613208,3.54
11,0.689370979,0.361539385,0.524448223,0.594936046,0.544769134,0.013330166,-0.003503493,-0.000372369,-0.000315435,0.000224774,0.000599075,-0.000823808,-0.000585565,-0.311950101,-0.162908838,5.21
12,0.786686542,0.494612205,0.628728444,0.702943313,0.644418939,0.030062843,-0.00251378,-0.000810938,0.000270733,0.001138601,0.001303939,0.000211612,0.001337657,-0.227951785,-0.134116239,4.93
13,0.666459041,0.312006758,0.46815594,0.4988718,0.46879382,0.015773095,-0.006286306,-0.000424085,-0.000489431,0.000167752,0.000777196,-0.001003293,-0.000674377,-0.362253114,-0.156149181,1.82
14,0.765576146,0.688815596,0.899734924,0.98240659,0.956807057,0.025766063,0.001657959,0.000147684,-0.000608618,-0.000586446,-0.001563337,0.007816471,0.008911926,-0.052778456,-0.210919328,36.04
15,0.706267317,0.498820124,0.706276663,0.778975445,0.735297374,0.020941266,-0.004911883,-0.00032167,-0.000442288,7.91E-05,0.000175489,0.000759947,0.001133151,-0.172142856,-0.207456539,9.86
16,0.696972378,0.380520301,0.54596181,0.601405075,0.562088666,0.023516941,-0.005028626,-0.000576137,-0.000642659,0.000242982,0.001071604,-0.00127176,-0.000784434,-0.293693019,-0.165441509,12.55
17,0.783897176,0.538055608,0.68638544,0.7831905,0.726322087,0.028933282,-0.00373294,0.000153582,0.000571345,0.00020636,-0.000209166,0.00196556,0.00239084,-0.185968494,-0.148329832,4.75
18,0.701897869,0.89472947,1.27472886,1.309629323,1.374634526,0.026280884,-0.003068535,-3.70E-05,-0.001414662,-0.000915252,-0.001987281,0.007740598,0.008467803,0.120774333,-0.37999939,60.59
19,0.727226089,0.416942978,0.573333361,0.608413851,0.586115758,0.014590133,-0.004878148,-0.000246431,-0.000361225,4.54E-05,0.000653914,-0.000519129,-0.000143897,-0.271186418,-0.156390383,4.42
20,0.690063308,0.716560642,1.038398409,1.058094455,1.099399631,0.025311582,-0.002349276,-0.000332787,-0.001674455,-0.000742959,-0.000529361,0.004952636,0.006022326,0.018837539,-0.321837767,52.54
21,0.766796673,0.674284296,0.87935214,1.042992547,0.985073694,0.028507928,-0.008361013,0.000584853,0.000465258,-0.000373485,-0.001448658,0.00328394,0.003099294,-0.064196516,-0.205067845,16.28
22,0.766089001,0.737217452,0.962313061,1.048747947,1.037974225,0.028774967,0.001102812,0.000506743,-0.000618487,-0.001016027,-0.002193196,0.009374619,0.010429287,-0.019205365,-0.225095609,43.56
23,0.729078346,0.409179815,0.561228868,0.619488193,0.5819891,0.027468194,-0.003980913,-0.000620178,-0.000675162,0.000272823,0.001663702,-0.002180021,-0.001485724,-0.281042159,-0.152049053,7.93
24,0.71270455,0.405205292,0.568545959,0.62334251,0.583858426,0.022695876,-0.006800684,-0.000523895,-0.000555188,0.000240738,0.00098636,-0.000912674,-0.000385956,-0.275066241,-0.163340667,6.26
